,biomatch,kmeans,gcd,histogram,db_merge,db_join2,gauss,mnist,cryptonets
gmwhybrid_lan,"[869.8000000000001, 292.29, 294.81, 289.0, 287.42, 302.53000000000003, 305.15999999999997, 295.08, 287.85, 292.19]",,,,,"[1522.8, 769.13, 773.49, 827.9, 822.1, 779.9000000000001, 776.91, 773.13, 765.93, 804.9]",,,"[854.1, 852.0, 847.81, 864.2800000000001, 862.03, 833.35, 832.12, 832.11, 863.4699999999999, 866.64]"
lan_optimized_lan,"[1313.3999999999999, 1079.2, 1173.0, 1068.8, 1082.5, 1075.0, 1068.4, 1073.8000000000002, 1129.6999999999998, 1137.5]",,"[238.74, 237.84, 257.84000000000003, 254.58999999999997, 255.29000000000002, 253.14, 272.67, 254.46, 262.1, 256.06]","[798.96, 831.45, 803.47, 804.86, 813.38, 839.73, 816.5799999999999, 812.1899999999999, 814.12, 812.6999999999999]","[680.8100000000001, 441.85, 452.6, 478.03000000000003, 443.09999999999997, 527.2, 479.58, 498.09999999999997, 460.54, 439.78000000000003]","[1390.3000000000002, 1464.2, 1362.8, 1376.8, 1398.5, 1409.1, 1445.0, 1436.6000000000001, 1456.7, 1387.8999999999999]","[409.16999999999996, 302.03000000000003, 345.96, 457.1, 260.21, 268.8, 255.73000000000002, 271.43, 273.05, 261.12]",,"[902.97, 883.77, 890.0400000000001, 893.62, 894.0, 883.3299999999999, 896.2, 898.4100000000001, 904.32, 917.79]"
yaohybrid_wan,"[2087.4, 1370.9, 1405.8999999999999, 1529.7, 1513.3000000000002, 1393.3, 1417.0, 1330.4, 1320.3, 1470.1]",,,"[1758.5, 1601.8, 1733.6000000000001, 1607.9, 1786.3, 1707.8999999999999, 1698.1, 1746.2, 1699.8999999999999, 1862.9]",,"[2285.2000000000003, 2185.1, 2344.3999999999996, 2222.9, 2139.0, 2266.7000000000003, 2286.1, 2182.2, 2332.8, 2250.7999999999997]",,"[12613.0, 13421.0, 12570.0, 10040.0, 10388.0, 9659.599999999999, 10416.0, 10134.0, 13220.0, 13888.0]",
wan_optimized_wan,"[3240.7, 3255.3999999999996, 4042.0999999999995, 3935.0, 3909.8, 3883.2, 4059.5999999999995, 4197.0, 4288.5, 4631.0]",,"[1299.3, 854.3, 847.14, 850.1, 847.21, 846.89, 856.88, 839.61, 857.46, 852.8599999999999]","[2338.0, 1638.1, 1710.6, 1614.4, 1595.5, 1627.6999999999998, 1698.1, 1601.3, 1617.3999999999999, 1599.1]","[1416.6000000000001, 1322.2, 1336.0, 1380.9, 1335.7, 1312.8, 1334.0, 1405.6, 1336.6, 1302.7]","[3175.6000000000004, 2422.2999999999997, 2748.4, 2332.8, 2390.0, 2390.0, 2326.2, 2602.7, 2374.2999999999997, 2305.2999999999997]","[1316.7, 852.6700000000001, 878.58, 842.68, 845.93, 820.05, 821.41, 870.34, 856.38, 859.4000000000001]",,"[2992.2, 2541.0, 2413.6000000000004, 2417.8, 2452.0, 2556.7000000000003, 2535.2000000000003, 2563.8999999999996, 2510.9, 2458.7]"
gmwonly_lan,,"[25070.0, 26918.0, 25896.0, 29328.0, 29352.0, 29911.0, 31764.0, 29136.0, 29513.0, 23715.0]",,,,,,,
gmwonly_wan,,"[94544.0, 95024.0, 94056.0, 94735.0, 95043.0, 93917.0, 94504.0, 93740.0, 94199.0, 94231.0]",,,,,,,
yaohybrid_lan,,,"[372.69, 338.81, 338.34999999999997, 491.4, 354.32000000000005, 265.23999999999995, 249.92000000000002, 257.21, 249.03, 248.04999999999998]","[1009.1000000000001, 819.0, 825.5400000000001, 824.26, 833.2, 804.49, 805.91, 824.97, 802.79, 816.5]",,,,"[5644.0, 5700.400000000001, 5695.9, 5877.0, 6572.2, 6273.7, 5750.3, 5672.6, 5778.7, 5851.7]",
yaoonly_wan,,,"[826.2, 916.92, 873.5, 859.2800000000001, 847.81, 863.62, 864.87, 858.22, 865.42, 856.6]",,"[1565.7, 1440.7, 1419.8999999999999, 1560.8999999999999, 1363.3, 1299.1, 1533.1999999999998, 1541.9, 1330.8999999999999, 1393.6]",,"[1157.0, 825.72, 884.8000000000001, 858.0600000000001, 883.49, 846.41, 875.62, 823.8, 830.85, 857.23]",,
yaoonly_lan,,,,,"[780.36, 506.96, 511.54999999999995, 539.42, 490.28, 527.0200000000001, 493.61, 544.5, 580.65, 492.86]",,"[888.9899999999999, 307.82, 290.96, 290.5, 314.47, 325.2, 312.43, 354.73, 336.13, 375.55]",,
gmwhybrid_wan,,,,,,,,,"[2531.0, 2356.2, 2454.8999999999996, 2442.0, 2464.7999999999997, 2521.5, 2499.6, 2487.2999999999997, 2438.0, 2593.2]"
